French,English
partie,leave
histoire,history
police,police
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
vont,will
revoir,meet again
aucune,any
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
suite,after
pardon,sorry
venez,come
devant,in front of
mis,placed
aujourd'hui,today
espère,hope
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
fin,end
chérie,sweetheart
aura,will have
jouer,to play
bureau,office
